"Record ID","Date","INA","<22","22-24","25-34","35-44","45-54","55-59","60-64",">=65"
"08012011","08/01/2011","56","1,665","3,558","15,074","13,835","15,232","5,859","3,879","2,906"
"07012011","07/01/2011","58","1,609","3,768","15,999","14,954","16,600","6,318","4,291","3,224"
"09012011","09/01/2011","51","1,639","3,170","13,500","11,949","13,051","4,987","3,158","1,976"
"02012012","02/01/2012","51","1,400","3,702","15,728","14,101","15,917","6,131","3,843","3,092"
"10012011","10/01/2011","58","1,578","3,120","12,590","11,166","12,481","4,681","2,862","1,818"
"11012011","11/01/2011","53","2,142","3,799","14,715","12,926","14,104","5,313","3,175","2,109"
"12012011","12/01/2011","64","2,036","3,662","14,487","12,946","14,113","5,310","3,119","2,188"
"01012012","01/01/2012","50","1,466","3,836","16,666","15,051","16,808","6,483","4,152","3,469"
"03012012","03/01/2012","47","1,178","3,084","13,401","12,476","14,052","5,370","3,390","2,647"
"06012012","06/01/2012","39","1,119","2,569","11,380","11,266","12,841","5,115","3,220","2,611"
"07012012","07/01/2012","30","1,201","2,907","12,406","12,214","13,566","5,418","3,484","2,764"
"05012012","05/01/2012","40","1,125","2,660","11,487","10,874","12,004","4,584","2,799","1,864"
"04012012","04/01/2012","38","1,056","2,639","11,820","10,734","12,112","4,705","2,870","1,968"
"08012012","08/01/2012","37","1,353","2,913","11,834","10,917","12,161","4,792","2,899","1,974"
"09012012","09/01/2012","37","1,337","2,676","11,358","10,544","11,942","4,642","2,751","1,641"
"10012012","10/01/2012","42","1,206","2,448","10,251","9,281","10,158","3,911","2,396","1,508"
"11012012","11/01/2012","32","1,112","2,139","9,165","8,172","9,486","3,719","2,252","1,556"
"12012012","12/01/2012","85","1,806","3,288","13,026","11,693","12,909","5,012","2,916","1,932"
"01012013","01/01/2013","41","1,263","3,569","15,857","14,485","16,250","6,749","4,215","3,313"
"02012013","02/01/2013","44","1,110","3,132","13,892","12,818","13,868","5,828","3,579","2,932"
"04012013","04/01/2013","32","853","2,331","10,610","9,974","11,116","4,416","2,868","1,763"
"05012013","05/01/2013","40","749","2,102","9,704","8,895","10,080","4,158","2,730","1,676"
"06012013","06/01/2013","0","809","2,350","10,450","9,914","11,303","4,834","3,183","2,536"
"07012013","07/01/2013","53","966","2,393","10,648","10,409","11,784","5,163","3,262","2,551"
"08012013","08/01/2013","44","933","2,381","10,367","10,131","11,284","4,715","2,955","2,009"
"09012013","09/01/2013","37","920","2,234","9,434","8,705","9,441","4,011","2,373","1,463"
"10012013","10/01/2013","29","864","2,078","8,977","8,330","8,961","3,789","2,226","1,375"
"11012013","11/01/2013","40","1,068","2,355","10,015","9,166","9,876","4,019","2,434","1,621"
"12012013","12/01/2013","43","1,241","2,626","11,591","10,548","11,325","4,611","2,660","1,796"
"01012014","01/01/2014","2","1,063","2,963","14,279","13,606","14,678","6,468","3,984","3,127"
"02012014","02/01/2014","0","1,075","2,937","14,149","13,547","15,003","6,722","3,978","3,117"
"03012014","03/01/2014","0","777","2,230","10,953","10,911","11,947","5,166","3,282","2,225"
"04012014","04/01/2014","0","638","1,765","8,795","8,380","9,309","4,131","2,536","1,543"
"05012014","05/01/2014","1","693","1,825","8,184","8,016","8,859","3,792","2,395","1,446"
"06012014","06/01/2014","3","689","1,866","8,645","8,596","9,756","4,206","2,826","2,211"
"07012014","07/01/2014","2","696","1,917","8,988","8,870","9,812","4,360","2,833","2,220"
"08012014","08/01/2014","2","737","1,785","8,484","8,011","8,712","3,829","2,427","1,826"
"09012014","09/01/2014","1","683","1,644","7,647","7,303","7,911","3,500","1,989","1,297"
"10012014","10/01/2014","1","675","1,683","7,389","6,967","7,381","3,263","1,954","1,292"
"11012014","11/01/2014","1","767","1,714","7,727","7,275","7,795","3,437","2,099","1,442"
"12012014","12/01/2014","0","912","1,987","8,773","7,977","8,735","3,806","2,218","1,591"
"01012015","01/01/2015","0","753","2,368","11,505","11,333","11,856","5,541","3,422","2,689"
"02012015","02/01/2015","2","841","2,182","10,792","10,392","11,699","5,214","3,202","2,494"
"03012015","03/01/2015","0","593","1,741","9,107","9,034","9,925","4,564","2,815","1,996"
"04012015","04/01/2015","0","416","1,283","7,034","6,816","7,477","3,515","2,133","1,347"
